AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,CLASS
12769,447.83,184.4764,88.6296,0.877,127.5068,0.9804,13024,0.6733,2.0814,0.8001,Ipsala
5392,326.326,142.1714,48.9332,0.9389,82.8572,0.962,5605,0.4897,2.9054,0.6363,Jasmine
14835,488.965,196.5303,97.3891,0.8686,137.4355,0.972,15263,0.691,2.018,0.7797,Ipsala
9475,408.427,178.9363,67.5776,0.9259,109.836,0.9817,9652,0.5299,2.6479,0.7138,Ipsala
7244,412.703,194.9039,48.1895,0.969,96.0383,0.9722,7451,0.3845,4.0445,0.5345,Basmati
6672,332.842,136.3604,63.4366,0.8852,92.1686,0.9752,6842,0.6307,2.1496,0.7568,Arborio
5036,319.789,148.385,43.7762,0.9555,80.0752,0.9633,5228,0.4331,3.3896,0.6188,Jasmine
7725,344.792,140.6425,71.0416,0.863,99.1755,0.9798,7884,0.7884,1.9797,0.8166,Arborio
7059,311.879,117.4605,77.178,0.7538,94.804,0.9823,7186,0.69,1.5219,0.912,Karacadag
12849,456.372,188.4676,88.1827,0.8838,127.9056,0.9744,13187,0.7814,2.1372,0.7752,Ipsala
14883,485.363,203.2395,94.3304,0.8858,137.6576,0.9861,15093,0.6267,2.1545,0.7939,Ipsala
13545,470.587,198.7273,88.0138,0.8966,131.3241,0.9824,13788,0.5821,2.2579,0.7686,Ipsala
7861,428.946,205.9345,49.3783,0.9708,100.0447,0.9763,8052,0.7824,4.1705,0.5369,Basmati
6725,299.134,111.966,76.877,0.727,92.534,0.9864,6818,0.7224,1.4564,0.9444,Karacadag
6397,295.966,113.3151,72.3246,0.7698,90.2492,0.9843,6499,0.7051,1.5668,0.9177,Karacadag
8064,409.885,187.1649,55.6706,0.9547,101.3282,0.975,8271,0.6541,3.362,0.6032,Jasmine
5712,294.296,119.3921,61.5237,0.857,85.2804,0.9754,5856,0.6302,1.9406,0.8288,Arborio
8067,364.494,143.7799,73.1595,0.8609,101.347,0.9702,8315,0.6266,1.9653,0.763,Arborio
5552,322.51,145.3257,49.3973,0.9405,84.0775,0.9778,5678,0.8319,2.942,0.6708,Jasmine
5209,315.719,143.1193,46.679,0.9453,81.439,0.9788,5322,0.4681,3.066,0.6567,Jasmine
13084,460.91,190.8731,88.5734,0.8858,129.07,0.9803,13347,0.5865,2.155,0.774,Ipsala
7366,335.637,134.2082,71.0497,0.8484,96.8436,0.9786,7527,0.7737,1.8889,0.8217,Arborio
12501,451.281,185.8183,87.0528,0.8835,126.1617,0.9733,12844,0.6212,2.1345,0.7714,Ipsala
7439,342.517,140.0552,68.8307,0.8709,97.3223,0.9777,7609,0.6451,2.0348,0.7968,Arborio
15917,515.441,212.7014,97.5204,0.8887,142.3592,0.9705,16400,0.6048,2.1811,0.7529,Ipsala
5562,324.595,148.1419,48.3881,0.9452,84.1532,0.981,5670,0.4691,3.0615,0.6634,Jasmine
7003,334.538,141.5161,63.4151,0.894,94.4272,0.9827,7126,0.6156,2.2316,0.7863,Arborio
14106,476.343,196.1112,92.5838,0.8815,134.0161,0.9738,14485,0.5871,2.1182,0.7812,Ipsala
7096,317.385,121.1335,75.7785,0.7802,95.0521,0.98,7241,0.7653,1.5985,0.8852,Karacadag
8900,451.938,213.6859,53.6702,0.9679,106.4511,0.9787,9094,0.6891,3.9815,0.5476,Basmati
14301,480.164,187.6669,99.3781,0.8483,134.9392,0.9565,14951,0.607,1.8884,0.7795,Ipsala
7966,447.795,211.7755,48.8762,0.973,100.7106,0.9692,8219,0.5429,4.3329,0.4992,Basmati
5356,322.263,143.2557,48.8227,0.9401,82.5801,0.9761,5487,0.626,2.9342,0.6481,Jasmine
5990,410.01,199.6261,39.1452,0.9806,87.331,0.9686,6184,0.3127,5.0996,0.4478,Basmati
13938,472.339,193.2652,93.5004,0.8752,133.2157,0.9768,14269,0.5999,2.067,0.7851,Ipsala
6119,284.007,105.074,74.4479,0.7057,88.2664,0.9849,6213,0.7433,1.4114,0.9533,Karacadag
6611,392.828,184.4247,47.8044,0.9658,91.7463,0.9511,6951,0.4174,3.8579,0.5384,Basmati
5125,316.547,143.1267,46.3769,0.946,80.7797,0.9781,5240,0.466,3.0862,0.6427,Jasmine
14829,480.976,199.1518,95.1992,0.8783,137.4077,0.9832,15083,0.7572,2.0919,0.8055,Ipsala
14540,483.862,198.2025,95.1757,0.8772,136.0621,0.969,15005,0.7734,2.0825,0.7804,Ipsala
13409,460.872,186.1797,93.2367,0.8656,130.6632,0.9811,13667,0.7145,1.9968,0.7933,Ipsala
13637,457.787,189.1338,92.4826,0.8723,131.7694,0.9858,13834,0.8014,2.0451,0.8177,Ipsala
10760,414.906,170.6515,81.9291,0.8772,117.0472,0.9749,11037,0.7535,2.0829,0.7855,Ipsala
7457,335.505,135.772,70.3074,0.8555,97.44,0.9799,7610,0.705,1.9311,0.8325,Arborio
7660,342.577,140.3226,70.2731,0.8656,98.7574,0.9803,7814,0.6571,1.9968,0.8202,Arborio
12206,445.762,185.6769,84.6475,0.89,124.6642,0.9765,12500,0.7538,2.1935,0.7719,Ipsala
7027,306.701,113.5244,79.4257,0.7145,94.5889,0.9864,7124,0.7277,1.4293,0.9387,Karacadag
6527,300.034,112.6004,74.7701,0.7477,91.1616,0.9808,6655,0.7511,1.506,0.9111,Karacadag
6206,296.553,112.3198,71.3089,0.7726,88.8916,0.9758,6360,0.7196,1.5751,0.8868,Karacadag
5545,321.453,143.6519,49.9962,0.9375,84.0245,0.9733,5697,0.6223,2.8733,0.6743,Jasmine
8414,352.171,142.6485,75.7958,0.8472,103.5038,0.9849,8543,0.6571,1.882,0.8525,Arborio
12550,453.018,187.1744,86.4708,0.8869,126.4087,0.981,12793,0.6137,2.1646,0.7685,Ipsala
7588,350.712,145.6604,67.0243,0.8878,98.2921,0.9696,7826,0.7744,2.1732,0.7752,Arborio
5813,332.411,147.9027,50.7184,0.9394,86.0311,0.9695,5996,0.6106,2.9162,0.6611,Jasmine
9535,424.923,192.3313,63.9216,0.9432,110.1832,0.9776,9753,0.516,3.0089,0.6636,Jasmine
7473,331.241,133.352,71.9168,0.8421,97.5444,0.9856,7582,0.6452,1.8543,0.8559,Arborio
5139,320.775,147.3775,44.8443,0.9526,80.8899,0.9737,5278,0.564,3.2864,0.6276,Jasmine
5042,317.087,141.4022,46.3096,0.9449,80.1229,0.9606,5249,0.5457,3.0534,0.6302,Jasmine
7082,433.556,209.1909,44.4339,0.9772,94.9583,0.9538,7425,0.3442,4.7079,0.4735,Basmati
12488,458.579,191.061,84.4833,0.8969,126.0961,0.9746,12813,0.5513,2.2615,0.7462,Ipsala
7142,425.854,203.722,45.581,0.9746,95.3597,0.97,7363,0.5552,4.4695,0.4949,Basmati
6524,366.419,168.0679,50.4087,0.954,91.1406,0.9705,6722,0.4953,3.3341,0.6106,Basmati
5184,312.273,139.8793,48.0543,0.9391,81.2433,0.9752,5316,0.5906,2.9109,0.668,Jasmine
5759,285.836,110.6204,67.2578,0.7939,85.6305,0.9799,5877,0.6962,1.6447,0.8858,Karacadag
12843,466.299,197.1622,83.9702,0.9048,127.8758,0.9755,13166,0.6398,2.348,0.7422,Ipsala
5789,287.704,111.4038,67.2571,0.7972,85.8533,0.9772,5924,0.6897,1.6564,0.8789,Karacadag
8894,372.939,149.1019,76.9656,0.8565,106.4152,0.9627,9239,0.6285,1.9373,0.8036,Arborio
6876,303.202,115.4528,76.1591,0.7516,93.5671,0.9855,6977,0.7487,1.5159,0.9399,Karacadag
8055,432.913,203.8687,51.3218,0.9678,101.2716,0.974,8270,0.3728,3.9724,0.5401,Basmati
10015,438.394,194.2564,66.9318,0.9388,112.9225,0.9773,10248,0.4766,2.9023,0.6548,Jasmine
7248,323.896,127.5157,73.3569,0.818,96.0648,0.9852,7357,0.6639,1.7383,0.8682,Karacadag
6049,338.084,149.7718,52.332,0.937,87.76,0.9688,6244,0.7143,2.862,0.665,Jasmine
7552,339.933,137.3724,70.8414,0.8568,98.0587,0.9722,7768,0.6246,1.9392,0.8213,Arborio
15532,506.083,207.2012,97.0122,0.8836,140.627,0.9692,16026,0.5726,2.1358,0.7621,Ipsala
6571,305.263,120.506,69.8124,0.8151,91.4683,0.9856,6667,0.6836,1.7261,0.8861,Karacadag
5198,325.531,145.7141,46.7827,0.9471,81.3529,0.9653,5385,0.5172,3.1147,0.6164,Jasmine
7036,314.879,117.2446,77.6209,0.7495,94.6494,0.9742,7222,0.758,1.5105,0.8918,Karacadag
5276,317.64,142.4069,47.9502,0.9416,81.961,0.9697,5441,0.6407,2.9699,0.6571,Jasmine
8485,360.317,145.7381,74.544,0.8593,103.9396,0.977,8685,0.6559,1.9551,0.8213,Arborio
6245,291.946,109.9091,72.9431,0.748,89.1705,0.9818,6361,0.7343,1.5068,0.9207,Karacadag
5726,273.63,102.7642,71.2113,0.721,85.3848,0.9912,5777,0.735,1.4431,0.961,Karacadag
14446,488.048,203.3706,91.7769,0.8924,135.6216,0.9761,14800,0.6465,2.2159,0.7621,Ipsala
6127,291.243,111.3686,70.877,0.7713,88.3241,0.9806,6248,0.7067,1.5713,0.9077,Karacadag
8103,463.523,227.9958,45.8265,0.9796,101.5729,0.9803,8266,0.826,4.9752,0.4739,Basmati
11223,442.892,190.5174,75.9964,0.917,119.539,0.9791,11463,0.7753,2.5069,0.719,Ipsala
13939,470.102,199.0918,89.5399,0.8932,133.2204,0.9864,14131,0.7054,2.2235,0.7926,Ipsala
6122,420.612,205.3031,39.7534,0.9811,88.288,0.9462,6470,0.3137,5.1644,0.4349,Basmati
5660,337.588,152.3365,48.7159,0.9475,84.8913,0.9664,5857,0.5736,3.127,0.6241,Jasmine
6006,290.756,108.0274,72.4053,0.7421,87.4476,0.9668,6212,0.6803,1.492,0.8928,Karacadag
8474,448.285,213.3657,51.3598,0.9706,103.8722,0.9783,8662,0.4505,4.1543,0.5299,Basmati
8348,446.245,212.9003,51.0126,0.9709,103.0971,0.9766,8548,0.4029,4.1735,0.5268,Basmati
7421,343.364,137.7871,70.0847,0.861,97.2045,0.9658,7684,0.6138,1.966,0.791,Arborio
6374,296.057,109.8267,74.7374,0.7327,90.0868,0.9841,6477,0.7391,1.4695,0.9138,Karacadag
7573,435.546,208.1578,47.1094,0.9741,98.1949,0.9673,7829,0.6334,4.4186,0.5017,Basmati
8132,359.893,145.301,72.4446,0.8668,101.7545,0.9657,8421,0.7141,2.0057,0.789,Arborio
7301,322.274,126.8652,73.811,0.8133,96.4154,0.9845,7416,0.6754,1.7188,0.8834,Karacadag
7980,356.901,149.4374,68.1868,0.8898,100.7991,0.9803,8140,0.6497,2.1916,0.7873,Arborio
5101,319.465,144.2206,46.5073,0.9466,80.5903,0.9632,5296,0.4533,3.101,0.6281,Jasmine
5418,326.337,146.7713,48.0166,0.945,83.0567,0.9743,5561,0.4711,3.0567,0.6393,Jasmine
5876,284.124,111.1208,67.5698,0.7939,86.496,0.9869,5954,0.6943,1.6445,0.9147,Karacadag
5211,314.86,141.9942,47.5993,0.9421,81.4546,0.9791,5322,0.4762,2.9831,0.6605,Jasmine
7896,429.025,203.1222,49.966,0.9693,100.2671,0.9782,8072,0.469,4.0652,0.5391,Basmati
8414,354.579,140.5819,77.0684,0.8363,103.5038,0.9787,8597,0.6411,1.8241,0.841,Arborio
5137,309.675,139.6769,47.1749,0.9412,80.8742,0.9787,5249,0.7978,2.9608,0.6731,Jasmine
7625,420.454,197.0205,50.1604,0.967,98.5315,0.9725,7841,0.3882,3.9278,0.542,Basmati
7122,328.9,131.8795,69.6012,0.8494,95.2261,0.9752,7303,0.6421,1.8948,0.8273,Arborio
7865,403.467,179.127,57.8955,0.9463,100.0701,0.9631,8166,0.7047,3.094,0.6071,Jasmine
10522,448.308,193.9597,70.7754,0.931,115.7455,0.958,10983,0.7026,2.7405,0.6579,Jasmine
6513,300.218,116.2305,71.8603,0.786,91.0638,0.9824,6630,0.7069,1.6175,0.9081,Karacadag
6606,399.086,190.0573,45.1994,0.9713,91.7116,0.9743,6780,0.4546,4.2049,0.5212,Basmati
7783,465.599,225.7978,44.641,0.9803,99.5471,0.9641,8073,0.3375,5.0581,0.4512,Basmati
11548,436.71,186.0869,79.7724,0.9035,121.2575,0.9836,11740,0.5749,2.3327,0.7609,Ipsala
10021,440.318,195.8387,66.6859,0.9402,112.9563,0.9698,10333,0.7604,2.9367,0.6495,Jasmine
6194,290.525,112.451,70.309,0.7804,88.8057,0.9874,6273,0.7169,1.5994,0.9222,Karacadag
8562,363.112,146.908,74.9762,0.86,104.4101,0.9724,8805,0.66,1.9594,0.816,Arborio
7976,347.505,139.8812,73.3469,0.8515,100.7738,0.9785,8151,0.7295,1.9071,0.83,Arborio
7712,422.467,197.5404,50.7655,0.9664,99.092,0.9697,7953,0.4211,3.8912,0.543,Basmati
8285,355.402,144.2111,74.2505,0.8573,102.7073,0.9736,8510,0.7775,1.9422,0.8243,Arborio
7223,442.305,213.2577,43.5758,0.9789,95.899,0.9767,7395,0.4285,4.894,0.464,Basmati
7837,433.223,200.2315,50.9855,0.967,99.8918,0.969,8088,0.591,3.9272,0.5247,Basmati
9866,413.913,177.7572,71.2339,0.9162,112.0794,0.98,10067,0.6671,2.4954,0.7237,Ipsala
12972,454.396,179.2032,94.6922,0.849,128.5164,0.9638,13459,0.7268,1.8925,0.7895,Ipsala
8986,371.042,149.5822,77.3792,0.8558,106.9642,0.9715,9250,0.6915,1.9331,0.8202,Arborio
6078,292.848,110.4929,70.9824,0.7664,87.9702,0.9719,6254,0.6994,1.5566,0.8906,Karacadag
7025,323.852,132.3302,68.0787,0.8575,94.5754,0.9809,7162,0.7505,1.9438,0.8417,Arborio
7238,405.521,188.8692,49.7949,0.9646,95.9985,0.9695,7466,0.4396,3.7929,0.5531,Basmati
7941,352.053,146.0068,69.8551,0.8781,100.5525,0.9822,8085,0.6659,2.0901,0.8051,Arborio
5260,318.104,145.0062,46.8068,0.9465,81.8367,0.979,5373,0.5543,3.098,0.6532,Jasmine
5250,320.841,145.6941,46.7558,0.9471,81.7588,0.9711,5406,0.6181,3.1161,0.6409,Jasmine
6989,320.224,128.7463,69.5572,0.8415,94.3328,0.9782,7145,0.6462,1.8509,0.8565,Arborio
15162,490.762,196.8174,99.33,0.8633,138.9419,0.977,15519,0.6488,1.9815,0.7911,Ipsala
5814,321.744,143.4409,52.3561,0.931,86.0385,0.9744,5967,0.569,2.7397,0.7058,Jasmine
7198,319.289,124.738,73.9599,0.8053,95.7328,0.9835,7319,0.6717,1.6866,0.8873,Karacadag
7906,345.282,138.9759,73.0139,0.8509,100.3306,0.9767,8095,0.6582,1.9034,0.8333,Arborio
12900,456.543,190.7326,87.107,0.8896,128.1592,0.9845,13103,0.5922,2.1896,0.7777,Ipsala
8403,464.39,224.1738,48.5751,0.9762,103.4361,0.9732,8634,0.3369,4.615,0.4896,Basmati
14521,475.163,190.299,98.1145,0.8568,135.9732,0.9814,14796,0.7136,1.9396,0.8082,Ipsala
5992,306.327,128.1564,60.1665,0.8829,87.3456,0.9789,6121,0.7223,2.13,0.8024,Arborio
5513,328.424,149.158,47.665,0.9476,83.7817,0.9721,5671,0.7362,3.1293,0.6423,Jasmine
7819,345.704,142.1341,70.8211,0.867,99.7771,0.9791,7986,0.638,2.0069,0.8222,Arborio
5079,316.828,146.1263,45.1595,0.951,80.4163,0.9721,5225,0.452,3.2358,0.6358,Jasmine
15054,492.699,202.4211,96.2051,0.8798,138.4462,0.9733,15467,0.5931,2.1041,0.7793,Ipsala
7121,311.126,119.6271,76.0894,0.7716,95.2194,0.9866,7218,0.6981,1.5722,0.9244,Karacadag
5639,325.917,148.6563,48.7483,0.9447,84.7337,0.9727,5797,0.7842,3.0495,0.6671,Jasmine
5826,285.627,106.0902,70.9811,0.7432,86.1272,0.9792,5950,0.7302,1.4946,0.8974,Karacadag
6071,287.994,109.6607,71.2475,0.7602,87.9195,0.9881,6144,0.7194,1.5392,0.9198,Karacadag
8319,449.409,211.4745,50.867,0.9706,102.9178,0.9696,8580,0.4745,4.1574,0.5176,Basmati
5145,325.695,148.7357,45.421,0.9522,80.9371,0.9742,5281,0.4331,3.2746,0.6095,Jasmine
6471,300.582,116.1698,71.149,0.7905,90.7697,0.9842,6575,0.6878,1.6328,0.9,Karacadag
8563,341.36,132.0174,82.9675,0.7778,104.4162,0.9872,8674,0.7602,1.5912,0.9234,Karacadag
7322,321.653,125.0831,75.1349,0.7995,96.5539,0.9824,7453,0.7547,1.6648,0.8893,Karacadag
5337,327.087,149.6667,45.6687,0.9523,82.4335,0.9764,5466,0.4925,3.2772,0.6269,Jasmine
7537,450.36,218.7558,44.8047,0.9788,97.9613,0.9752,7729,0.4486,4.8824,0.467,Basmati
6351,293.791,112.0503,72.8222,0.76,89.9241,0.9845,6451,0.7065,1.5387,0.9246,Karacadag
6245,290.772,109.5924,73.0873,0.7451,89.1705,0.9844,6344,0.7345,1.4995,0.9282,Karacadag
14256,492.24,205.0317,89.9709,0.8986,134.7268,0.9673,14738,0.682,2.2789,0.7394,Ipsala
11217,433.642,175.5699,82.5034,0.8827,119.507,0.9597,11688,0.5935,2.128,0.7496,Ipsala
15362,487.863,197.8664,100.0688,0.8627,139.8553,0.9793,15687,0.6182,1.9773,0.8111,Ipsala
16239,511.708,212.2871,98.8609,0.8849,143.792,0.9778,16608,0.7472,2.1473,0.7793,Ipsala
6390,296.148,109.6457,74.7912,0.7312,90.1998,0.9832,6499,0.7235,1.466,0.9156,Karacadag
16484,502.216,203.2449,104.3246,0.8582,144.8726,0.9769,16874,0.6607,1.9482,0.8213,Ipsala
14813,488.074,200.2418,95.346,0.8794,137.3335,0.9754,15186,0.645,2.1002,0.7814,Ipsala
7786,347.508,140.7633,71.2745,0.8623,99.5663,0.9792,7951,0.6044,1.9749,0.8102,Arborio
6891,403.792,190.1336,46.7761,0.9693,93.6691,0.9806,7027,0.3651,4.0648,0.5311,Basmati
6364,303.244,116.2238,70.5711,0.7945,90.0161,0.975,6527,0.6997,1.6469,0.8697,Karacadag
7438,321.925,126.1495,75.3226,0.8022,97.3158,0.9824,7571,0.7767,1.6748,0.9019,Karacadag
15874,503.256,210.5158,97.0347,0.8874,142.1668,0.983,16148,0.7632,2.1695,0.7876,Ipsala
8345,358.723,143.1301,75.5895,0.8492,103.0785,0.9775,8537,0.6446,1.8935,0.8149,Arborio
6330,292.56,110.118,73.7218,0.7428,89.7753,0.9872,6412,0.7042,1.4937,0.9294,Karacadag
7272,340.62,142.3451,65.9297,0.8863,96.2237,0.9805,7417,0.5926,2.159,0.7876,Arborio
7197,442.278,214.1024,43.0462,0.9796,95.7262,0.9752,7380,0.595,4.9738,0.4623,Basmati
7921,431.884,205.3295,50.2168,0.9696,100.4257,0.9712,8156,0.5345,4.0889,0.5336,Basmati
7720,344.527,136.9097,72.9864,0.8461,99.1434,0.9741,7925,0.7187,1.8758,0.8173,Arborio
14050,469.179,191.4265,94.8751,0.8685,133.7498,0.986,14249,0.6261,2.0177,0.8021,Ipsala
5986,287.001,112.793,67.9317,0.7983,87.3018,0.986,6071,0.7265,1.6604,0.9132,Karacadag
6759,305.303,117.8775,73.4525,0.7821,92.7676,0.9873,6846,0.747,1.6048,0.9112,Karacadag
5690,349.39,158.4349,46.5178,0.9559,85.116,0.9646,5899,0.5302,3.4059,0.5857,Jasmine
6532,299.587,109.0256,77.4942,0.7034,91.1965,0.9755,6696,0.7349,1.4069,0.9146,Karacadag
5569,336.918,153.5161,47.1858,0.9516,84.2061,0.9745,5715,0.5525,3.2534,0.6165,Jasmine
13619,470.771,198.5006,88.6621,0.8947,131.6824,0.9816,13874,0.7636,2.2388,0.7722,Ipsala
15890,501.62,202.8541,100.7817,0.8679,142.2384,0.9834,16159,0.6756,2.0128,0.7936,Ipsala
14178,483.589,206.7153,87.9371,0.905,134.3577,0.9845,14401,0.7592,2.3507,0.7619,Ipsala
7623,315.764,114.4934,85.1145,0.6688,98.5186,0.9882,7714,0.8103,1.3452,0.9608,Karacadag
5343,319.714,142.9162,48.6137,0.9404,82.4798,0.9779,5464,0.4825,2.9398,0.6569,Jasmine
6415,296.47,115.4668,70.9738,0.7888,90.3761,0.9868,6501,0.7404,1.6269,0.9172,Karacadag
14753,490.256,202.4147,94.2023,0.8851,137.0551,0.9689,15226,0.6969,2.1487,0.7713,Ipsala
7660,347.233,143.3133,68.687,0.8777,98.7574,0.9802,7815,0.6501,2.0865,0.7984,Arborio
6708,306.493,113.0369,77.17,0.7307,92.4169,0.9709,6909,0.751,1.4648,0.8973,Karacadag
6053,289.623,110.2041,70.532,0.7684,87.7891,0.9815,6167,0.7075,1.5625,0.9068,Karacadag
6047,395.871,189.6026,41.0047,0.9763,87.7455,0.9719,6222,0.3733,4.6239,0.4849,Basmati
5159,318.382,139.9378,48.4182,0.9382,81.0472,0.9706,5315,0.4871,2.8902,0.6396,Jasmine
6596,308.428,117.2936,72.8362,0.7838,91.6422,0.9753,6763,0.749,1.6104,0.8713,Karacadag
5160,310.467,139.6507,48.0584,0.9389,81.055,0.976,5287,0.485,2.9059,0.6727,Jasmine
7342,424.723,202.9584,46.6206,0.9733,96.6857,0.9737,7540,0.3552,4.3534,0.5115,Basmati
5007,318.551,143.6883,45.8378,0.9478,79.8443,0.9603,5214,0.5096,3.1347,0.6201,Jasmine
8077,440.782,207.6813,50.2403,0.9703,101.4098,0.9742,8291,0.3812,4.1338,0.5224,Basmati
8408,448.004,209.2684,52.9501,0.9675,103.4669,0.9614,8746,0.4428,3.9522,0.5264,Basmati
7168,334.165,132.3096,70.1062,0.8481,95.5331,0.969,7397,0.6896,1.8873,0.8067,Arborio
5268,317.657,137.6198,49.7385,0.9324,81.8989,0.9693,5435,0.5619,2.7669,0.6561,Jasmine
12185,431.375,173.1015,90.8967,0.851,124.5569,0.9827,12399,0.6312,1.9044,0.8229,Ipsala
14059,486.278,205.0893,88.5965,0.9019,133.7926,0.9767,14395,0.6521,2.3149,0.7471,Ipsala
8203,356.479,146.9792,71.7443,0.8728,102.1978,0.9803,8368,0.6294,2.0487,0.8112,Arborio
9726,446.324,201.3086,62.0473,0.9513,111.2813,0.9752,9973,0.6267,3.2444,0.6135,Jasmine
6274,295.775,109.8657,73.7466,0.7412,89.3773,0.9733,6446,0.7199,1.4898,0.9012,Karacadag
6696,402.738,189.5087,45.5504,0.9707,92.3342,0.9791,6839,0.3765,4.1604,0.5188,Basmati
8122,358.628,146.5575,71.6427,0.8724,101.6919,0.9744,8335,0.7416,2.0457,0.7936,Arborio
5136,312.461,141.1204,47.6587,0.9412,80.8663,0.9738,5274,0.4693,2.9611,0.6611,Jasmine
7638,348.588,140.0063,70.7263,0.863,98.6154,0.9635,7927,0.6756,1.9795,0.7899,Arborio
5668,330.237,148.6802,49.0967,0.9439,84.9513,0.9692,5848,0.5826,3.0283,0.6531,Jasmine
11661,449.979,190.5418,79.1937,0.9095,121.8493,0.971,12009,0.7888,2.406,0.7237,Ipsala
5257,323.646,145.3978,46.9117,0.9465,81.8133,0.9726,5405,0.5067,3.0994,0.6307,Jasmine
7585,438.216,207.6358,46.9158,0.9741,98.2727,0.9761,7771,0.3726,4.4257,0.4964,Basmati
7917,445.735,211.5994,48.258,0.9736,100.4004,0.972,8145,0.5737,4.3848,0.5007,Basmati
11555,459.364,202.5461,73.6531,0.9315,121.2942,0.9803,11787,0.5198,2.75,0.6881,Ipsala
7803,338.458,135.0265,74.4326,0.8343,99.6749,0.9849,7923,0.6845,1.8141,0.856,Arborio
6047,304.186,124.9426,62.1956,0.8673,87.7455,0.9742,6207,0.657,2.0089,0.8212,Arborio
5778,335.529,148.9698,50.7506,0.9402,85.7717,0.9625,6003,0.5942,2.9353,0.645,Jasmine
6836,400.383,186.5887,47.9109,0.9665,93.2945,0.9662,7075,0.5208,3.8945,0.5359,Basmati
5857,285.214,108.0772,69.5906,0.7651,86.356,0.9803,5975,0.7298,1.553,0.9048,Karacadag
15794,499.314,202.99,100.1332,0.8699,141.8081,0.9789,16135,0.6461,2.0272,0.7961,Ipsala
12820,461.115,189.9431,87.8627,0.8866,127.7612,0.9789,13096,0.6005,2.1618,0.7577,Ipsala
14726,494.249,203.8076,93.7669,0.8879,136.9296,0.97,15182,0.7933,2.1736,0.7575,Ipsala
8669,410.637,187.878,59.3721,0.9488,105.0605,0.9841,8809,0.7641,3.1644,0.646,Jasmine
6872,308.437,116.8638,75.2483,0.7651,93.5398,0.9841,6983,0.7098,1.553,0.9077,Karacadag
8220,358.695,145.7782,72.684,0.8668,102.3036,0.9743,8437,0.6526,2.0056,0.8028,Arborio
8496,357.058,140.9423,77.507,0.8352,104.0069,0.977,8696,0.6637,1.8184,0.8374,Arborio
7465,407.478,185.3034,52.384,0.9592,97.4922,0.9672,7718,0.6687,3.5374,0.565,Basmati
7369,411.552,192.6002,49.1497,0.9669,96.8633,0.9755,7554,0.4173,3.9186,0.5467,Basmati
5649,288.69,116.6089,62.366,0.845,84.8088,0.9838,5742,0.6262,1.8698,0.8518,Arborio
12721,452.171,188.5861,87.1385,0.8868,127.267,0.9857,12906,0.7772,2.1642,0.7819,Ipsala
6222,296.892,111.754,71.9643,0.7651,89.0062,0.9834,6327,0.7348,1.5529,0.887,Karacadag
6368,302.581,113.7909,72.7377,0.769,90.0444,0.9654,6596,0.7666,1.5644,0.874,Karacadag
6626,303.509,119.6519,70.864,0.8058,91.8503,0.9867,6715,0.7065,1.6885,0.9039,Karacadag
